"","GO0031328_positive_regulation_of_cellular_biosynthetic_process"
"net_charge",NA
"WF_complexity",NA
"KL_hydropathy",NA
"isoelectric_point",NA
"FCR",NA
"ED_ratio",-1.53304782298823
"RK_ratio",NA
"SCD",NA
"kappa.",4.72168030943716
"omega.",NA
"id.REP_Q2.Q.2.2.",NA
"id.REP_N2.N.2.2.",NA
"id.REP_S2.S.2.2.",NA
"id.REP_G2.G.2.2.",NA
"id.REP_E2.E.2.2.",NA
"id.REP_D2.D.2.2.",NA
"id.REP_K2.K.2.2.",NA
"id.REP_R2.R.2.2.",NA
"id.REP_P2.P.2.2.",NA
"id.REP_QN2..QN..2..",2.40088363418287
"id.REP_RG2..RG..2..",NA
"id.REP_PR..PR..2..",NA
"id.REP_FG2..FG..2..",NA
"id.REP_SG2..SG..2..",NA
"id.REP_SR2..SR..2..",NA
"id.REP_KAP2..KAP..2..",NA
"id.REP_PTS2..PTS..2..",NA
"CLV_C14_Caspase3.7",NA
"DEG_APCC_KENBOX_2",NA
"DEG_Kelch_Keap1_1",NA
"DEG_SCF_TRCP1_1",NA
"DOC_ANK_TNKS_1",NA
"DOC_CYCLIN_RxL_1",NA
"DOC_MAPK_gen_1",NA
"DOC_MAPK_JIP1_4",NA
"DOC_MAPK_MEF2A_6",NA
"DOC_MAPK_NFAT4_5",NA
"DOC_PP1_RVXF_1",NA
"DOC_PP2A_B56_1",NA
"DOC_PP4_FxxP_1",NA
"DOC_WW_Pin1_4",-0.643173063511056
"LIG_14.3.3_CanoR_1",-2.53074261322341
"LIG_CaM_IQ_9",NA
"LIG_CtBP_PxDLS_1",NA
"LIG_EF_ALG2_ABM_1",NA
"LIG_EH_1",NA
"LIG_HCF.1_HBM_1",NA
"LIG_HOMEOBOX",NA
"LIG_KEPE_2",NA
"LIG_KLC1_WD_1",NA
"LIG_LIR_Gen_1",NA
"LIG_PAM2_1",NA
"LIG_PCNA_PIPBox_1",NA
"LIG_PDZ_Class_1",NA
"LIG_PDZ_Wminus1_1",NA
"LIG_PTAP_UEV_1",NA
"LIG_PTB_Apo_2",NA
"LIG_PTB_Phospho_1",NA
"LIG_Rb_LxCxE_1",NA
"LIG_SH2_CRK",NA
"LIG_SH2_GRB2like",NA
"LIG_SH2_NCK_1",NA
"LIG_SH2_SRC",NA
"LIG_SH2_STAP1",NA
"LIG_SH2_STAT5",NA
"LIG_SH3_2",NA
"LIG_SUMO_SIM_anti_2",NA
"LIG_SUMO_SIM_par_1",NA
"MOD_CDK_SPK_2",NA
"MOD_CDK_SPxK_1",NA
"MOD_CDK_SPxxK_3",NA
"MOD_CK1_1",NA
"MOD_CK2_1",NA
"MOD_DYRK1A_RPxSP_1",NA
"MOD_GSK3_1",NA
"MOD_N.GLC_1",NA
"MOD_NMyristoyl",NA
"MOD_PIKK_1",NA
"MOD_PKA_1",NA
"MOD_PKA_2",-0.589875558776791
"MOD_PKB_1",NA
"MOD_Plk_1",NA
"MOD_ProDKin_1",1.27111804007257
"MOD_SUMO_for_1",3.93932341382074
"MOD_SUMO_rev_2",NA
"TRG_ER_diArg_1",NA
"TRG_ER_FFAT_1",NA
"TRG_LysEnd_APsAcLL_1",NA
"TRG_NES_CRM1_1",NA
"TRG_NLS_MonoExtN_4",NA
"A_homorep",NA
"C_homorep",NA
"D_homorep",NA
"E_homorep",NA
"G_homorep",3.07914678114323
"H_homorep",NA
"I_homorep",NA
"K_homorep",NA
"L_homorep",NA
"M_homorep",NA
"N_homorep",NA
"P_homorep",NA
"Q_homorep",2.12872402286854
"R_homorep",NA
"S_homorep",2.32771504138406
"T_homorep",NA
"V_homorep",NA
"Y_homorep",NA
"FG_rich",NA
"PY",NA
"FRG",NA
"SGFYSG",NA
"PG_rich",NA
"ELASTIN_LIKE",NA
"FGxF",NA
"R_plus_Y",NA
"REP_RGG",NA
"AA_S",NA
"AA_P",NA
"AA_T",NA
"AA_A",-2.92173624660427
"AA_H",NA
"AA_Q",NA
"AA_N",1.96535690318371
"AA_G",NA
"AA_R",NA
"AA_C",NA
"AA_D",NA
"AA_E",NA
"AA_F",NA
"AA_I",NA
"AA_K",NA
"AA_L",NA
"AA_M",5.58001799252868
"AA_V",NA
"AA_W",NA
"AA_Y",NA
"acidic",NA
"basic",NA
"aliphatic",NA
"polar_fraction",0.280362007385142
"chain_expanding",NA
"aromatic",NA
"disorder_promoting",NA
